Id,Name,Year,UsageCount,Order,Size,Facts,TrainSet,ValidSet,TestSet
1,CYC/OpenCyc,1995,2809,118499,18526,2413894,,,
2,UMLS,2004,4052,2000000,,12000000,,,
3,DBpedia,2007,5646,4600000,1367,538000000,,,
4,YAGO,2007,4506,9800000,114,447000000,,,
5,Freebase,2008,4853,40000000,35000,637000000,,,
6,NELL,2010,2042,2006896,425,432845,,,
7,ReVerb,2011,1589,2263915,664746,14728268,,,
8,Google KG,2012,,570000000,35000,18000000000,,,
9,WN18,2013,,40943,18,,141442,5000,5000
10,FB15k,2013,,14951,1345,,483142,50000,59071
11,WN11,2013,,38696,11,,112581,2609,10544
12,FB13,2013,,75043,13,,316232,5908,23733
13,FB5M,2014,,5385322,1192,,19193556,50000,59071
14,YAGO3-10,2014,717,123182,37,,1079040,5000,5000
15,Yahoo KG,2014,,3443743,800,1391054990,,,
16,Knowledge Vault,2014,1825,45000000,18526,271000000,,,
17,Wikidata,2014,2413,18000000,1632,66000000,,,
18,FB40K,2015,2764,39528,1336,,370648,67946,96678
19,FB2M,2015,,2150604,6701,10843106,,,
20,FB20K,2016,555,19923,1345,,12113,,1332
21,FB15K+,2016,555,14951,1855,,486446,50000,62374
22,FB15k-ET,2017,68,14951,1345,,,,
23,YAGO43k-ET,2017,68,42335,37,,,,
24,WN18RR,2018,1419,40943,11,,86835,3034,3134
25,FB15k-237,2018,1419,14541,237,,272115,17535,20466
26,Microsoft Academic KG,2019,,2000000000,,55000000000,,,
27,DB111k-174,2019,91,111762,305,863643,,,
28,YAGO26K-906,2019,91,26078,34,390738,,,
29,AI-KG,2020,31,820000,,1200000,,,
30,Last-FM,2021,17,9366,60,15518,,,
31,Movielens-1M,2021,17,7008,7,20782,,,
32,Book-Crossing,2021,17,77903,25,151500,,,
33,Dianping Food,2021,17,28115,7,160519,,,
34,CS-KG,2022,,10000000,179,41000000,,,